#metadataBlock	name	dataverseAlias	displayName													
	bullnet_study_v1	bullnet_study_v1	BullNet Study (DC) Metadata v1													
#datasetField	name	title	description	watermark	fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id	termURI
	bullnet_study_v1_studyIdentifier	Study ID	Unique identifier for the study (DC-level).	E.g. DC1_SemenMotility	text	0		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE		bullnet_study_v1	http://purl.obolibrary.org/obo/OBI_0001612
	bullnet_study_v1_title	Study Title	Human-readable title of the study.		text	1		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE		bullnet_study_v1	http://purl.obolibrary.org/obo/NCIT_C42614
	bullnet_study_v1_objective	Objective / Purpose	Main scientific objective of the study.		textarea	2		FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		bullnet_study_v1	
	bullnet_study_v1_responseVariables	Experimental Response Variables	Variables measured in the study (e.g. total motility, progressive motility).		none	4		TRUE	FALSE	TRUE	FALSE	TRUE	FALSE		bullnet_study_v1	
	bullnet_study_v1_measurements	Measurements	Type of measurements applied.	E.g. Motility assessment	text	5		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	bullnet_study_v1_responseVariables	bullnet_study_v1	
	bullnet_study_v1_targets	Experimental Targets	Target populations or entities under study.	E.g. Motile sperm population	text	6		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	bullnet_study_v1_responseVariables	bullnet_study_v1	
	bullnet_study_v1_factors	Experimental Factors	Factors defined by the experimenter (e.g. age, breed, fertility status).		none	7		TRUE	TRUE	TRUE	FALSE	TRUE	FALSE		bullnet_study_v1	http://purl.obolibrary.org/obo/NCIT_C164385
	bullnet_study_v1_otherFactors	Other Experimental Factors	Other factor types not covered above.		text	8		TRUE	FALSE	TRUE	FALSE	FALSE	FALSE		bullnet_study_v1	
	bullnet_study_v1_contact	Contact Person	Responsible researcher (name, email, ORCID).		textarea	9		FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		bullnet_study_v1	
#controlledVocabulary	DatasetField	Value	identifier	displayOrder												
	bullnet_study_v1_factors	Age	EFO_0000246	0												
	bullnet_study_v1_factors	Breed	EFO_0005135	1												
	bullnet_study_v1_factors	Fertility Status	NCIT_C17747	2												
	bullnet_study_v1_factors	Sex-sorted Semen	OBI_0001938	3												
	bullnet_study_v1_factors	Time Point	EFO_0000724	4												
	bullnet_study_v1_factors	Other	OTHER_FACTOR	99												
