#metadataBlock	name	dataverseAlias	displayName
	crc1607_sample_v1	crc1607_sample_v1	CRC1607 Sample Information v1
#datasetField	name	title	description	watermark	fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id
	crc1607_sample_v1_id	Sample ID	Self-defined sample ID(s). Make sure enter the same ID when entering the assay metadata.	WT-001	text	0		FALSE	FALSE	TRUE	FALSE	TRUE	TRUE		crc1607_sample_v1
	crc1607_sample_v1_organism	Organism	The species from which the sample was obtained.	Mus musculus	text	1		FALSE	TRUE	FALSE	TRUE	TRUE	TRUE		crc1607_sample_v1
	crc1607_sample_v1_type	Sample type	A description of the physical nature of the sample.	Descemet membrane	text	2		FALSE	FALSE	FALSE	TRUE	TRUE	FALSE		crc1607_sample_v1
	crc1607_sample_v1_cellline	Cell line	The name or identifier of the cell line used, if applicable.	CRMM1	text	3		FALSE	FALSE	FALSE	TRUE	TRUE	FALSE		crc1607_sample_v1
	crc1607_sample_v1_animalinfo	Animal model	Biological condition of animal sample source.		none	4	;	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		crc1607_sample_v1
	crc1607_sample_v1_model	Biological condtion	The specific model of animal, if applicable.	Wild Type	text	0	#VALUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	crc1607_sample_v1_animalinfo	crc1607_sample_v1
	crc1607_sample_v1_gene	Target gene	The name of the gene being studied.	ABCB5	text	1	#VALUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	crc1607_sample_v1_animalinfo	crc1607_sample_v1
	crc1607_sample_v1_age	Age	Age of the animal model or the human subject at the time of sample collection.	8 weeks	text	5		FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		crc1607_sample_v1
	crc1607_sample_v1_disease	Disease	Studied disease or condition. If not in the list, select Other and fill it in the next field.	Corneal infection	text	6		TRUE	TRUE	FALSE	TRUE	TRUE	FALSE		crc1607_sample_v1
	crc1607_sample_v1_otcdisease	Other disease			text	7		FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		crc1607_sample_v1
	crc1607_sample_v1_stage	Stage	The developmental or disease stage of the sample source.		text	8		TRUE	TRUE	TRUE	FALSE	TRUE	FALSE		crc1607_sample_v1
	crc1607_sample_v1_relateid	Related sample ID	Other samples as control, treatment group or from the same animal model.	WT-002, KO-001	text	9		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE		crc1607_sample_v1
	crc1607_sample_v1_protocol	Protocol	If you would like to share the sample preparation protocol, please enter the link here. This can be an external repository or an internal path to a shared folder.	M:\UNIKLINK\Klinik\Shared_folder\2025-01-01_sample_preparation_protocol_5	text	11	<a href="#VALUE">#VALUE</a>	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE		crc1607_sample_v1
	crc1607_sample_v1_relvpaper	Associated literature (link)	Link or DOI of the literature that is relevant to the sample preparation method.	doi.org/10.1038/s41467-024-47989-9	text	13		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE		crc1607_sample_v1
	crc1607_sample_v1_notes	Notes	Notes about sample preparation or modification of protocol. Either for fellow researchers or to metadata provider in the future.	 	textbox	14		FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		crc1607_sample_v1
#controlledVocabulary	DatasetField	Value	identifier	displayOrder
	crc1607_sample_v1_organism	Homo sapiens	NCBITaxon_9606	0
	crc1607_sample_v1_organism	Mus musculus	NCBITaxon_10090	1
	crc1607_sample_v1_model	double knockout (DKO)	MODEL_DKO	0
	crc1607_sample_v1_model	knockin	MCO_0000046	1
	crc1607_sample_v1_model	knockout	MCO_0000042	2
	crc1607_sample_v1_model	knowdown	MCO_0000050	3
	crc1607_sample_v1_model	overexpression	MCO_0000041	4
	crc1607_sample_v1_model	wild type	MODEL_WT	5
	crc1607_sample_v1_disease	Acute keratoconus	MONDO_0000943	0
	crc1607_sample_v1_disease	Age-related macular degeneration (AMD)	MONDO_0005150	1
	crc1607_sample_v1_disease	Aniridia	MONDO_0019172	2
	crc1607_sample_v1_disease	Conjunctival melanoma	MONDO_0002096	3
	crc1607_sample_v1_disease	Corneal dystrophy	MONDO_0018102	4
	crc1607_sample_v1_disease	Corneal infection (Bacterial keratitis)	MONDO_0023865	5
	crc1607_sample_v1_disease	Diabetic retinopathy	MONDO_0005266	6
	crc1607_sample_v1_disease	Dry eye	MONDO_0006733	7
	crc1607_sample_v1_disease	Ectrodactyly-ectodermal dysplasia-clefting syndrome (EEC Syndrome)	MONDO_0010004	8
	crc1607_sample_v1_disease	Eye allergy	MONDO_0005551	9
	crc1607_sample_v1_disease	Fuchs endothelial corneal dystrophy (FECD)	MONDO_0005321	10
	crc1607_sample_v1_disease	Glaucoma	MONDO_0005041	11
	crc1607_sample_v1_disease	Graft-versus-host disease	MONDO_0013730	12
	crc1607_sample_v1_disease	Hereditary retinal dystrophy	MONDO_0019118	13
	crc1607_sample_v1_disease	Herpes keratitis	MONDO_0015288	14
	crc1607_sample_v1_disease	Limbal Stem Cell Deficiency	MONDO_0025667	15
	crc1607_sample_v1_disease	Neurotrophic keratopathy	MONDO_0015290	16
	crc1607_sample_v1_disease	Ocular Cicatricial Pemphigoid (OCP)	MONDO_0008109	17
	crc1607_sample_v1_disease	Pterygium (Surfer's eye)	MONDO_0005085	18
	crc1607_sample_v1_disease	Sjogren syndrome	MONDO_0010030	19
	crc1607_sample_v1_disease	Uveal melanoma	MONDO_0006486	20
	crc1607_sample_v1_disease	Uveitis	MONDO_0020283	21
	crc1607_sample_v1_disease	Other	OTHER_DISEASE	22
	crc1607_sample_v1_stage	Early	STAGE_EARLY	0
	crc1607_sample_v1_stage	Intermediate	STAGE_INTERM	1
	crc1607_sample_v1_stage	Late	STAGE_LATE	2
	crc1607_sample_v1_stage	Not Relevant	STAGE_NR	3
	crc1607_sample_v1_stage	I	STAGE_I	4
	crc1607_sample_v1_stage	II	STAGE_II	5
	crc1607_sample_v1_stage	III	STAGE_III	6
	crc1607_sample_v1_stage	IV	STAGE_IV	7
